state,target_date,label,residual,original_index,human_judgment
AC,2022-02-13,anomaly,0.5227213501930237,91,
AC,2022-02-20,anomaly,1.2715128660202026,92,
AC,2022-02-27,normal,0.9403579235076904,93,
AL,2022-01-09,normal,0.2847842872142792,192,
AL,2022-02-13,anomaly,0.4788389503955841,197,
AM,2022-02-20,normal,0.4165398478507995,304,
AP,2022-03-20,normal,0.6016353368759155,414,
BA,2022-02-06,anomaly,0.8892173171043396,514,
BA,2022-04-03,normal,0.7831134796142578,522,
CE,2022-02-06,normal,0.8631123900413513,620,
CE,2022-03-20,anomaly,0.9453887939453124,626,
DF,2022-04-24,normal,0.7041469216346741,737,
DF,2022-05-22,anomaly,0.6423130035400391,741,
ES,2022-03-27,anomaly,0.6733589172363281,839,
MA,2022-01-16,anomaly,0.4131344556808471,1041,
MG,2022-01-09,normal,1.0539404153823853,1146,
MG,2022-02-20,anomaly,1.4569687843322754,1152,
MG,2022-04-03,anomaly,1.2820597887039185,1158,
MS,2022-01-30,anomaly,0.6126609444618225,1255,
MS,2022-03-27,anomaly,0.423076182603836,1263,
PA,2022-01-23,normal,0.4709777534008026,1466,
PA,2022-03-20,anomaly,0.4468090832233429,1474,
PB,2022-01-30,anomaly,0.449225515127182,1573,
PE,2022-01-23,anomaly,0.7104806303977966,1678,
PE,2022-04-10,anomaly,1.710781455039978,1689,
PI,2022-02-20,anomaly,0.3721595704555511,1788,
PR,2022-02-13,anomaly,0.865161657333374,1893,
PR,2022-02-27,anomaly,0.912924826145172,1895,
PR,2022-05-22,normal,0.7559192776679993,1907,
RJ,2022-01-23,anomaly,1.9006744623184204,1996,
RJ,2022-05-15,normal,1.471290111541748,2012,
RO,2022-02-06,normal,0.3538126647472381,2210,
RO,2022-02-20,anomaly,0.5002777576446533,2212,
RS,2022-02-20,anomaly,0.8614503741264343,2318,
SC,2022-01-02,anomaly,0.4160773158073425,2417,
SC,2022-03-27,normal,0.6124593019485474,2429,
SC,2022-05-01,anomaly,0.6592121124267578,2434,
SE,2022-04-24,normal,0.5252805352210999,2539,
SP,2022-02-13,anomaly,3.1371304988861084,2635,
SP,2022-05-01,anomaly,2.559133291244507,2646,
